,Rank,Country,Name,Last name,Full Name,Matches Played,Matches Won,Match Time,Aces,Double Faults,1st Serve Won %,2nd Serve Won %,Points per Match,Break Points Saved %
205,206,USA,Ronald,Agenor,Ronald Agenor,484,227,1:38,,,,,157.42,
206,207,LAT,Ernests,Gulbis,Ernests Gulbis,483,245,1:42,4247,1916,75.24%,,158.35,63.80%
207,208,GBR,Buster,Mottram,Buster Mottram,482,301,,,,,,,
208,209,ARG,Martin,Jaite,Martin Jaite,480,301,,,,,50.10%,,
209,209,SWE,Robin,Soderling,Robin Soderling,480,310,1:38,3868,1361,75.73%,51.67%,154.74,63.41%
210,209,AUS,Todd,Woodbridge,Todd Woodbridge,480,244,1:35,1224,1825,,,165.26,
211,212,ESP,Alberto,Berasategui,Alberto Berasategui,477,278,1:24,,1266,,,151.94,
212,213,CZE,Bohdan,Ulihrach,Bohdan Ulihrach,476,230,1:27,1471,1680,,,152.92,
213,213,USA,Gene,Mayer,Gene Mayer,476,318,,,,,,,
214,215,AUS,Paul,Mcnamee,Paul Mcnamee,475,245,,,,,,,
215,216,USA,Hank,Pfister,Hank Pfister,474,261,,,,,,,
216,217,AUS,John,Fitzgerald,John Fitzgerald,473,241,,,,,,,
217,218,AUT,Dominic,Thiem,Dominic Thiem,470,305,1:44,2709,1296,74.09%,53.11%,162.47,63.14%
218,219,FRA,Adrian,Mannarino,Adrian Mannarino,468,213,1:38,2159,1214,,50.56%,154.65,
219,219,RUS,Igor,Andreev,Igor Andreev,468,237,1:48,2135,1142,70.47%,52.25%,160.19,
220,219,AUT,Stefan,Koubek,Stefan Koubek,468,215,1:34,1517,1340,,50.85%,155.61,
221,222,ARG,Gaston,Gaudio,Gaston Gaudio,467,271,1:47,1228,1381,,50.21%,158.06,
222,222,USA,Terry,Moor,Terry Moor,467,239,,,,,,,
223,224,AUS,Bob,Carmichael,Bob Carmichael,466,211,,,,,,,
224,225,USA,Clark,Graebner,Clark Graebner,464,310,,,,,,,
225,226,ITA,Renzo,Furlan,Renzo Furlan,463,223,1:39,1253,708,,49.49%,154.62,
226,227,AUS,Allan,Stone,Allan Stone,462,225,,,,,,,
227,227,SWE,Jonas,Svensson,Jonas Svensson,462,258,,,,,,,59.96%
228,229,URU,Diego,Perez,Diego Perez,461,225,,,,,,,
229,230,NZL,Brian,Fairlie,Brian Fairlie,459,231,,,,,,,
230,231,ESP,Carlos,Costa,Carlos Costa,456,248,1:32,1712,1069,,,154.90,
231,232,SUI,Heinz,Gunthardt,Heinz Gunthardt,455,248,,,,,,,
232,232,URU,Pablo,Cuevas,Pablo Cuevas,455,238,1:40,2492,1186,71.70%,51.75%,156.24,60.56%
